API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.611111111, A.D. 2026-Aug-24 02:40:00.0000,  4.702814376526336E+03, -4.735719401466145E+03, -1.293402694711183E+03,  4.228453055220771E+00,  2.625225791588168E+00,  5.821662239885658E+00,
2461276.612500000, A.D. 2026-Aug-24 02:42:00.0000,  5.165727611975019E+03, -4.378397737729457E+03, -5.850918577771668E+02,  3.474914629074380E+00,  3.321150770685428E+00,  5.965496792019859E+00,
2461276.613888889, A.D. 2026-Aug-24 02:44:00.0000,  5.534226216315342E+03, -3.941052826171584E+03,  1.339407976272135E+02,  2.657271866472182E+00,  3.956879915456599E+00,  6.000057995661011E+00,
2461276.615277778, A.D. 2026-Aug-24 02:46:00.0000,  5.801505224379955E+03, -3.431628036590956E+03,  8.505145466658515E+02,  1.790502858253314E+00,  4.520615471500774E+00,  5.924556384833167E+00,
2461276.616666667, A.D. 2026-Aug-24 02:48:00.0000,  5.962617366505371E+03, -2.859405609424215E+03,  1.551477699386690E+03,  8.905413808505388E-01,  5.001879013584539E+00,  5.740266617217747E+00,
2461276.618055556, A.D. 2026-Aug-24 02:50:00.0000,  6.014569369127091E+03, -2.234835411070880E+03,  2.223954658158587E+03, -2.603320722805604E-02,  5.391721826578848E+00,  5.450509188042614E+00,
2461276.619444444, A.D. 2026-Aug-24 02:52:00.0000,  5.956380070101259E+03, -1.569340390268011E+03,  2.855588064169337E+03, -9.423206754776715E-01,  5.682901740187563E+00,  5.060586868723032E+00,
2461276.620833333, A.D. 2026-Aug-24 02:54:00.0000,  5.789099148879492E+03, -8.751030527942378E+02,  3.434770720469576E+03, -1.841429846709877E+00,  5.870021853889461E+00,  4.577678260515889E+00,
2461276.622222222, A.D. 2026-Aug-24 02:56:00.0000,  5.515786393609773E+03, -1.648377109188546E+02,  3.950862368810235E+03, -2.706804606380751E+00,  5.949628471523610E+00,  4.010692580340392E+00,
2461276.623611111, A.D. 2026-Aug-24 02:58:00.0000,  5.141452479699903E+03,  5.484465264120225E+02,  4.394386970248082E+03, -3.522537780988529E+00,  5.920267463792244E+00,  3.370091050386176E+00,
2461276.625000000, A.D. 2026-Aug-24 03:00:00.0000,  4.672963146156672E+03,  1.251687065720910E+03,  4.757206832529463E+03, -4.273666073059740E+00,  5.782499965506335E+00,  2.667680940830411E+00,
